video,prompt,negative_prompt,num_images
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/0/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 0),,47
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1),,47
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/10/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 10),,80
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/100/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 100),,173
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1000/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1000),,216
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1001/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1001),,61
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1002/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1002),,180
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1003/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1003),,139
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1004/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1004),,164
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1005/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1005),,275
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1006/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1006),,154
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1007/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1007),,231
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/1008/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 1008),,76
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/101/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 101),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/102/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 102),,149
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/103/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 103),,191
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/104/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 104),,152
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/105/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 105),,138
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/106/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 106),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/107/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 107),,183
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/108/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 108),,139
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/109/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 109),,49
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/11/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 11),,69
/scratch/vcj9002/MagicPhysics/test_ball_and_block_collect/110/env/camera/cam_0,A physics simulation of a ball and block interaction (scene 110),,160
