video,prompt,negative_prompt,num_images
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/0/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,74
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/1/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,97
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/2/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,101
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/3/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,89
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/4/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,91
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/5/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,97
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/6/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,95
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/7/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,94
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/8/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,97
/nyx-storage1/hanliu/PhysicsIQv2/test_block_domino_collect/9/env/camera/cam_0,A physics simulation of blocks falling like dominoes,,91
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/0/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/1/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/2/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/3/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/4/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/5/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/6/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/7/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/8/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_domino_with_space_collect/9/env/camera/cam_0,A physics simulation of spaced domino pieces,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/0/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/1/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/2/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/3/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/4/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
/nyx-storage1/hanliu/PhysicsIQv2/test_duck_and_domino_collect/5/env/camera/cam_0,A physics simulation of a duck and domino interaction,,100
